ID;Site_name;Longitude;Latitude;Power;Uplink_1;Uplink_2;Uplink_3;Uplink_4;Uplink_5;Uplink_6;Downlink_1;Downlink_2;Downlink_3;Downlink_4;Downlink_5;Downlink_6;Azimuth;Tilt;Height
127222;M_4G_HBOTE4G;28.8453;46.99031944;35.8;703;708;713;718;723;728;758;763;768;773;778;783;15;4;9.5
658435;M_4G_HBOTE4G;28.8453;46.99031944;35.8;703;708;713;718;723;728;758;763;768;773;778;783;15;4;9.5
658436;M_4G_HBOTE4G;28.8453;46.99031944;35.8;703;708;713;718;723;728;758;763;768;773;778;783;130;2;9.5
127223;M_4G_HBOTE4G;28.8453;46.99031944;35.8;703;708;713;718;723;728;758;763;768;773;778;783;130;2;9.5
658437;M_4G_FLORI4G;28.86155833;47.05922222;35.8;703;708;713;718;723;728;758;763;768;773;778;783;210;0;20
658438;M_4G_FLORI4G;28.86155833;47.05922222;35.8;703;708;713;718;723;728;758;763;768;773;778;783;320;0;20
870888;M_4G_HERAC4G_800;28.85030556;46.98175;35.8;703;708;713;718;723;728;758;763;768;773;778;783;70;8;12.5
870889;M_4G_HERAC4G_800;28.85030556;46.98175;35.8;703;708;713;718;723;728;758;763;768;773;778;783;200;4;12.5
870890;M_4G_HERAC4G_800;28.85030556;46.98175;35.8;703;708;713;718;723;728;758;763;768;773;778;783;340;6;12.5
127224;M_4G_HINCE4G;28.83580833;47.02104167;35.8;703;708;713;718;723;728;758;763;768;773;778;783;100;3;15
127225;M_4G_HINCE4G;28.83580833;47.02104167;35.8;703;708;713;718;723;728;758;763;768;773;778;783;210;3;15
127226;M_4G_HINCE4G;28.83580833;47.02104167;35.8;703;708;713;718;723;728;758;763;768;773;778;783;300;3;15
22083;M_4G_HINCESTI_BLOC_B_SOSHN4G;28.81689167;47.00254722;19.9;703;708;713;718;723;728;758;763;768;773;778;783;80;6;16
22084;M_4G_HINCESTI_BLOC_B_SOSHN4G;28.81689167;47.00254722;19.9;703;708;713;718;723;728;758;763;768;773;778;783;190;2;16
22085;M_4G_HINCESTI_BLOC_B_SOSHN4G;28.81689167;47.00254722;19.9;703;708;713;718;723;728;758;763;768;773;778;783;300;5;16
21888;M_4G_HINCESTI_HNWAT4G;28.61083611;46.83249444;19.15;703;708;713;718;723;728;758;763;768;773;778;783;40;3;15
21889;M_4G_HINCESTI_HNWAT4G;28.61083611;46.83249444;19.15;703;708;713;718;723;728;758;763;768;773;778;783;180;2;15
21890;M_4G_HINCESTI_HNWAT4G;28.61083611;46.83249444;19.15;703;708;713;718;723;728;758;763;768;773;778;783;270;3;15
21885;M_4G_HINCESTI_HNWAT4G;28.61083611;46.83249444;17.7;703;708;713;718;723;728;758;763;768;773;778;783;40;3;15
21886;M_4G_HINCESTI_HNWAT4G;28.61083611;46.83249444;15.8;703;708;713;718;723;728;758;763;768;773;778;783;180;3;15
21887;M_4G_HINCESTI_HNWAT4G;28.61083611;46.83249444;15.8;703;708;713;718;723;728;758;763;768;773;778;783;270;5;15
870748;M_4G_HNCEN4G_800;28.59152778;46.82661111;35.8;703;708;713;718;723;728;758;763;768;773;778;783;130;2;38
870749;M_4G_HNCEN4G_800;28.59152778;46.82661111;35.8;703;708;713;718;723;728;758;763;768;773;778;783;230;2;38
870750;M_4G_HNCEN4G_800;28.59152778;46.82661111;35.8;703;708;713;718;723;728;758;763;768;773;778;783;330;2;38
20633;M_4G_HRISTO_BOTEV_HBOTE4G;28.84443889;46.99537222;20;703;708;713;718;723;728;758;763;768;773;778;783;275;2;9.5
870891;M_4G_IALCA4G_800;28.77513889;46.94697222;35.8;703;708;713;718;723;728;758;763;768;773;778;783;120;5;23
870892;M_4G_IALCA4G_800;28.77513889;46.94697222;35.8;703;708;713;718;723;728;758;763;768;773;778;783;210;5;23
870893;M_4G_IALCA4G_800;28.77513889;46.94697222;35.8;703;708;713;718;723;728;758;763;768;773;778;783;305;5;23
870894;M_4G_IALCM4G_800;28.76660833;46.95119167;35.8;703;708;713;718;723;728;758;763;768;773;778;783;40;7;30
870895;M_4G_IALCM4G_800;28.76660833;46.95119167;35.8;703;708;713;718;723;728;758;763;768;773;778;783;125;7;30
870896;M_4G_IALCM4G_800;28.76660833;46.95119167;35.8;703;708;713;718;723;728;758;763;768;773;778;783;300;7;30
870897;M_4G_IALCN4G_800;28.78372222;46.93572222;35.8;703;708;713;718;723;728;758;763;768;773;778;783;80;6;15
870898;M_4G_IALCN4G_800;28.78372222;46.93572222;35.8;703;708;713;718;723;728;758;763;768;773;778;783;170;6;15
870899;M_4G_IALCN4G_800;28.78372222;46.93572222;35.8;703;708;713;718;723;728;758;763;768;773;778;783;330;6;15
870900;M_4G_IALOV4G_800;28.77022222;46.95577778;35.8;703;708;713;718;723;728;758;763;768;773;778;783;35;7;36
870901;M_4G_IALOV4G_800;28.77022222;46.95577778;35.8;703;708;713;718;723;728;758;763;768;773;778;783;130;7;36
870902;M_4G_IALOV4G_800;28.77022222;46.95577778;35.8;703;708;713;718;723;728;758;763;768;773;778;783;300;7;36
21339;M_4G_IALOVENI_POERM4G;28.70403889;46.94558056;18.9;703;708;713;718;723;728;758;763;768;773;778;783;45;2;5.1
